ALGORITHM, GESTURE, # OF SELECTED FEATURES, PARTICIPANT_NO, ACCURACY, AUC, #ofPositiveInstance, #ofNegativeInstance, TN, FP, FN, TP, FAR, FRR, EER
RF-501, Tilt, 1, 13, 1.00, 1.00, 10, 191, 191, 0, 0, 10, 0.00, 0.00, 0.00
RF-501, Tilt, 1, 14, 0.97, 0.96, 17, 184, 179, 5, 1, 16, 0.03, 0.06, 0.06
RF-501, Tilt, 1, 15, 0.95, 0.92, 17, 184, 175, 9, 2, 15, 0.05, 0.12, 0.11
RF-501, Triangle, 1, 1, 0.93, 0.87, 15, 212, 199, 13, 3, 12, 0.06, 0.20, 0.18
RF-501, Triangle, 1, 2, 0.86, 0.60, 26, 201, 189, 12, 19, 7, 0.06, 0.73, 0.44
RF-501, Triangle, 1, 3, 0.91, 0.66, 16, 211, 201, 10, 10, 6, 0.05, 0.62, 0.40
RF-501, Triangle, 1, 4, 0.89, 0.84, 18, 209, 188, 21, 4, 14, 0.10, 0.22, 0.20
RF-501, Triangle, 1, 5, 0.93, 0.78, 13, 214, 202, 12, 5, 8, 0.06, 0.38, 0.29
RF-501, Triangle, 1, 6, 0.90, 0.62, 13, 214, 200, 14, 9, 4, 0.07, 0.69, 0.43
RF-501, Triangle, 1, 7, 0.93, 0.81, 18, 209, 198, 11, 6, 12, 0.05, 0.33, 0.26
RF-501, Triangle, 1, 8, 0.91, 0.85, 14, 213, 195, 18, 3, 11, 0.08, 0.21, 0.19
RF-501, Triangle, 1, 9, 0.87, 0.69, 17, 210, 190, 20, 9, 8, 0.10, 0.53, 0.37
RF-501, Triangle, 1, 10, 0.92, 0.70, 16, 211, 201, 10, 9, 7, 0.05, 0.56, 0.37
RF-501, Triangle, 1, 11, 1.00, 1.00, 7, 220, 220, 0, 0, 7, 0.00, 0.00, 0.00
RF-501, Triangle, 1, 12, 0.91, 0.76, 10, 217, 200, 17, 4, 6, 0.08, 0.40, 0.30
RF-501, Triangle, 1, 13, 0.86, 0.60, 21, 206, 189, 17, 15, 6, 0.08, 0.71, 0.44
RF-501, Triangle, 1, 14, 0.91, 0.79, 9, 218, 201, 17, 3, 6, 0.08, 0.33, 0.27
RF-501, Triangle, 1, 15, 0.91, 0.78, 14, 213, 197, 16, 5, 9, 0.08, 0.36, 0.28
RF-501, Turn, 1, 1, 0.88, 0.77, 35, 168, 157, 11, 14, 21, 0.07, 0.40, 0.30
RF-501, Turn, 1, 2, 0.94, 0.89, 12, 191, 180, 11, 2, 10, 0.06, 0.17, 0.15
RF-501, Turn, 1, 3, 0.88, 0.82, 19, 184, 165, 19, 5, 14, 0.10, 0.26, 0.23
RF-501, Turn, 1, 4, 0.98, 0.99, 15, 188, 183, 5, 0, 15, 0.03, 0.00, 0.03
RF-501, Turn, 1, 5, 0.92, 0.72, 12, 191, 181, 10, 6, 6, 0.05, 0.50, 0.35
RF-501, Turn, 1, 6, 0.91, 0.89, 16, 187, 170, 17, 2, 14, 0.09, 0.12, 0.12
RF-501, Turn, 1, 7, 0.87, 0.77, 9, 194, 171, 23, 3, 6, 0.12, 0.33, 0.27
RF-501, Turn, 1, 8, 0.88, 0.84, 10, 193, 171, 22, 2, 8, 0.11, 0.20, 0.18
RF-501, Turn, 1, 9, 0.92, 0.84, 8, 195, 180, 15, 2, 6, 0.08, 0.25, 0.21
RF-501, Turn, 1, 10, 0.93, 0.89, 7, 196, 182, 14, 1, 6, 0.07, 0.14, 0.13
RF-501, Turn, 1, 11, 0.95, 0.79, 8, 195, 188, 7, 3, 5, 0.04, 0.38, 0.28
RF-501, Turn, 1, 12, 0.94, 0.94, 14, 189, 178, 11, 1, 13, 0.06, 0.07, 0.07
RF-501, Turn, 1, 13, 1.00, 1.00, 5, 198, 198, 0, 0, 5, 0.00, 0.00, 0.00
RF-501, Turn, 1, 14, 0.92, 0.77, 19, 184, 175, 9, 8, 11, 0.05, 0.42, 0.31
RF-501, Turn, 1, 15, 0.94, 0.77, 14, 189, 183, 6, 6, 8, 0.03, 0.43, 0.31
RF-501, Square, 1, 1, 0.84, 0.68, 16, 229, 199, 30, 8, 8, 0.13, 0.50, 0.37
RF-501, Square, 1, 2, 0.87, 0.57, 24, 221, 207, 14, 19, 5, 0.06, 0.79, 0.46
RF-501, Square, 1, 3, 0.89, 0.71, 16, 229, 211, 18, 8, 8, 0.08, 0.50, 0.35
RF-501, Square, 1, 4, 0.94, 0.72, 15, 230, 223, 7, 8, 7, 0.03, 0.53, 0.35
RF-501, Square, 1, 5, 0.90, 0.73, 13, 232, 214, 18, 6, 7, 0.08, 0.46, 0.33
RF-501, Square, 1, 6, 0.91, 0.77, 15, 230, 215, 15, 6, 9, 0.07, 0.40, 0.30
RF-501, Square, 1, 7, 0.91, 0.68, 17, 228, 216, 12, 10, 7, 0.05, 0.59, 0.38
RF-501, Square, 1, 8, 0.82, 0.67, 20, 225, 190, 35, 10, 10, 0.16, 0.50, 0.37
RF-501, Square, 1, 9, 0.92, 0.92, 12, 233, 214, 19, 1, 11, 0.08, 0.08, 0.08
RF-501, Square, 1, 10, 0.93, 0.79, 11, 234, 220, 14, 4, 7, 0.06, 0.36, 0.28
RF-501, Square, 1, 11, 1.00, 1.00, 15, 230, 230, 0, 0, 15, 0.00, 0.00, 0.00
RF-501, Square, 1, 12, 0.88, 0.61, 17, 228, 210, 18, 12, 5, 0.08, 0.71, 0.43
RF-501, Square, 1, 13, 0.94, 0.76, 20, 225, 219, 6, 9, 11, 0.03, 0.45, 0.32
RF-501, Square, 1, 14, 0.88, 0.72, 13, 232, 209, 23, 6, 7, 0.10, 0.46, 0.34
RF-501, Square, 1, 15, 0.86, 0.60, 21, 224, 204, 20, 15, 6, 0.09, 0.71, 0.44
RF-501, Circle, 2, 1, 0.94, 0.85, 15, 169, 162, 7, 4, 11, 0.04, 0.27, 0.22
RF-501, Circle, 2, 2, 0.96, 0.82, 19, 165, 165, 0, 7, 12, 0.00, 0.37, 0.27
RF-501, Circle, 2, 3, 0.92, 0.93, 17, 167, 154, 13, 1, 16, 0.08, 0.06, 0.08
RF-501, Circle, 2, 4, 0.92, 0.70, 11, 173, 165, 8, 6, 5, 0.05, 0.55, 0.36
RF-501, Circle, 2, 5, 0.96, 0.98, 12, 172, 165, 7, 0, 12, 0.04, 0.00, 0.04
RF-501, Circle, 2, 6, 0.94, 0.85, 16, 168, 161, 7, 4, 12, 0.04, 0.25, 0.21
