ALGORITHM, GESTURE, # OF SELECTED SENSORS, PARTICIPANT_NO, ACCURACY, AUC, #ofPositiveInstance, #ofNegativeInstance, TN, FP, FN, TP, FAR, FRR, EER
RF-501, Circle, Acc, 1, 0.96, 0.84, 42, 570, 560, 10, 13, 29, 0.02, 0.31, 0.24
RF-501, Circle, Acc, 2, 0.99, 0.94, 47, 565, 561, 4, 5, 42, 0.01, 0.11, 0.10
RF-501, Circle, Acc, 3, 0.91, 0.73, 59, 553, 524, 29, 29, 30, 0.05, 0.49, 0.34
RF-501, Circle, Acc, 4, 0.98, 0.91, 35, 577, 571, 6, 6, 29, 0.01, 0.17, 0.15
RF-501, Circle, Acc, 5, 0.96, 0.82, 40, 572, 563, 9, 14, 26, 0.02, 0.35, 0.26
RF-501, Circle, Acc, 6, 0.95, 0.77, 45, 567, 555, 12, 20, 25, 0.02, 0.44, 0.31
RF-501, Circle, Acc, 7, 0.98, 0.90, 37, 575, 570, 5, 7, 30, 0.01, 0.19, 0.16
RF-501, Circle, Acc, 8, 0.97, 0.91, 48, 564, 556, 8, 8, 40, 0.01, 0.17, 0.14
RF-501, Circle, Acc, 9, 0.94, 0.84, 46, 566, 544, 22, 13, 33, 0.04, 0.28, 0.23
RF-501, Circle, Acc, 10, 0.97, 0.87, 39, 573, 567, 6, 10, 29, 0.01, 0.26, 0.21
RF-501, Circle, Acc, 11, 0.99, 0.93, 29, 583, 581, 2, 4, 25, 0.00, 0.14, 0.12
RF-501, Circle, Acc, 12, 0.99, 0.94, 33, 579, 575, 4, 4, 29, 0.01, 0.12, 0.11
RF-501, Circle, Acc, 13, 0.98, 0.95, 32, 580, 573, 7, 3, 29, 0.01, 0.09, 0.09
RF-501, Circle, Acc, 14, 0.97, 0.93, 48, 564, 552, 12, 6, 42, 0.02, 0.12, 0.11
RF-501, Circle, Acc, 15, 0.97, 0.85, 32, 580, 570, 10, 9, 23, 0.02, 0.28, 0.22
RF-501, Updown, Acc, 1, 0.98, 0.90, 40, 512, 510, 2, 8, 32, 0.00, 0.20, 0.17
RF-501, Updown, Acc, 2, 0.96, 0.88, 41, 511, 498, 13, 9, 32, 0.03, 0.22, 0.18
RF-501, Updown, Acc, 3, 0.97, 0.91, 55, 497, 488, 9, 9, 46, 0.02, 0.16, 0.14
RF-501, Updown, Acc, 4, 0.99, 0.92, 26, 526, 524, 2, 4, 22, 0.00, 0.15, 0.13
RF-501, Updown, Acc, 5, 0.97, 0.84, 33, 519, 515, 4, 10, 23, 0.01, 0.30, 0.23
RF-501, Updown, Acc, 6, 0.98, 0.95, 43, 509, 503, 6, 4, 39, 0.01, 0.09, 0.09
RF-501, Updown, Acc, 7, 0.97, 0.81, 30, 522, 516, 6, 11, 19, 0.01, 0.37, 0.27
RF-501, Updown, Acc, 8, 0.99, 0.92, 31, 521, 521, 0, 5, 26, 0.00, 0.16, 0.14
RF-501, Updown, Acc, 9, 0.95, 0.82, 39, 513, 498, 15, 13, 26, 0.03, 0.33, 0.26
RF-501, Updown, Acc, 10, 0.98, 0.87, 28, 524, 519, 5, 7, 21, 0.01, 0.25, 0.20
RF-501, Updown, Acc, 11, 1.00, 0.96, 23, 529, 529, 0, 2, 21, 0.00, 0.09, 0.08
RF-501, Updown, Acc, 12, 0.99, 0.94, 32, 520, 518, 2, 4, 28, 0.00, 0.12, 0.11
RF-501, Updown, Acc, 13, 0.99, 0.94, 28, 524, 522, 2, 3, 25, 0.00, 0.11, 0.10
RF-501, Updown, Acc, 14, 0.95, 0.84, 56, 496, 484, 12, 17, 39, 0.02, 0.30, 0.24
RF-501, Updown, Acc, 15, 0.98, 0.95, 47, 505, 497, 8, 4, 43, 0.02, 0.09, 0.08
RF-501, Tilt, Acc, 1, 0.95, 0.87, 50, 618, 593, 25, 11, 39, 0.04, 0.22, 0.19
RF-501, Tilt, Acc, 2, 0.98, 0.94, 56, 612, 602, 10, 6, 50, 0.02, 0.11, 0.10
RF-501, Tilt, Acc, 3, 0.98, 0.95, 55, 613, 602, 11, 5, 50, 0.02, 0.09, 0.08
RF-501, Tilt, Acc, 4, 0.99, 0.98, 55, 613, 611, 2, 2, 53, 0.00, 0.04, 0.04
RF-501, Tilt, Acc, 5, 0.93, 0.72, 37, 631, 605, 26, 19, 18, 0.04, 0.51, 0.35
RF-501, Tilt, Acc, 6, 0.99, 0.95, 45, 623, 620, 3, 4, 41, 0.00, 0.09, 0.08
RF-501, Tilt, Acc, 7, 0.95, 0.82, 36, 632, 610, 22, 12, 24, 0.03, 0.33, 0.26
RF-501, Tilt, Acc, 8, 0.94, 0.72, 42, 626, 605, 21, 22, 20, 0.03, 0.52, 0.35
RF-501, Tilt, Acc, 9, 0.96, 0.82, 46, 622, 614, 8, 16, 30, 0.01, 0.35, 0.26
RF-501, Tilt, Acc, 10, 0.97, 0.84, 41, 627, 616, 11, 12, 29, 0.02, 0.29, 0.23
RF-501, Tilt, Acc, 11, 0.99, 0.93, 28, 640, 640, 0, 4, 24, 0.00, 0.14, 0.13
RF-501, Tilt, Acc, 12, 0.99, 0.94, 41, 627, 623, 4, 5, 36, 0.01, 0.12, 0.11
RF-501, Tilt, Acc, 13, 1.00, 1.00, 34, 634, 634, 0, 0, 34, 0.00, 0.00, 0.00
RF-501, Tilt, Acc, 14, 0.96, 0.86, 55, 613, 597, 16, 14, 41, 0.03, 0.25, 0.21
