ALGORITHM, GESTURE, # OF SELECTED FEATURES, PARTICIPANT_NO, ACCURACY, AUC, #ofPositiveInstance, #ofNegativeInstance, TN, FP, FN, TP, FAR, FRR, EER
RF-501, Turn, 1, 5, 0.90, 0.68, 39, 636, 590, 46, 22, 17, 0.07, 0.56, 0.38
RF-501, Turn, 1, 6, 0.91, 0.91, 51, 624, 566, 58, 4, 47, 0.09, 0.08, 0.09
RF-501, Turn, 1, 7, 0.90, 0.76, 31, 644, 589, 55, 12, 19, 0.09, 0.39, 0.30
RF-501, Turn, 1, 8, 0.90, 0.83, 41, 634, 577, 57, 10, 31, 0.09, 0.24, 0.21
RF-501, Turn, 1, 9, 0.88, 0.76, 50, 625, 562, 63, 19, 31, 0.10, 0.38, 0.30
RF-501, Turn, 1, 10, 0.92, 0.76, 32, 643, 600, 43, 13, 19, 0.07, 0.41, 0.30
RF-501, Turn, 1, 11, 0.96, 0.84, 31, 644, 626, 18, 9, 22, 0.03, 0.29, 0.23
RF-501, Turn, 1, 12, 0.95, 0.90, 37, 638, 609, 29, 6, 31, 0.05, 0.16, 0.15
RF-501, Turn, 1, 13, 1.00, 1.00, 28, 647, 646, 1, 0, 28, 0.00, 0.00, 0.00
RF-501, Turn, 1, 14, 0.90, 0.83, 58, 617, 566, 51, 15, 43, 0.08, 0.26, 0.22
RF-501, Turn, 1, 15, 0.95, 0.81, 38, 637, 613, 24, 13, 25, 0.04, 0.34, 0.26
RF-501, Square, 1, 1, 0.86, 0.66, 63, 753, 679, 74, 37, 26, 0.10, 0.59, 0.39
RF-501, Square, 1, 2, 0.90, 0.64, 58, 758, 711, 47, 38, 20, 0.06, 0.66, 0.41
RF-501, Square, 1, 3, 0.89, 0.72, 67, 749, 691, 58, 33, 34, 0.08, 0.49, 0.35
RF-501, Square, 1, 4, 0.93, 0.80, 39, 777, 732, 45, 13, 26, 0.06, 0.33, 0.26
RF-501, Square, 1, 5, 0.88, 0.73, 49, 767, 689, 78, 21, 28, 0.10, 0.43, 0.32
RF-501, Square, 1, 6, 0.92, 0.75, 55, 761, 719, 42, 24, 31, 0.06, 0.44, 0.32
RF-501, Square, 1, 7, 0.86, 0.69, 48, 768, 679, 89, 24, 24, 0.12, 0.50, 0.36
RF-501, Square, 1, 8, 0.86, 0.79, 57, 759, 661, 98, 17, 40, 0.13, 0.30, 0.26
RF-501, Square, 1, 9, 0.92, 0.89, 40, 776, 717, 59, 6, 34, 0.08, 0.15, 0.14
RF-501, Square, 1, 10, 0.92, 0.69, 42, 774, 735, 39, 24, 18, 0.05, 0.57, 0.38
RF-501, Square, 1, 11, 0.99, 0.96, 43, 773, 771, 2, 3, 40, 0.00, 0.07, 0.07
RF-501, Square, 1, 12, 0.91, 0.73, 57, 759, 709, 50, 27, 30, 0.07, 0.47, 0.34
RF-501, Square, 1, 13, 0.91, 0.74, 64, 752, 710, 42, 30, 34, 0.06, 0.47, 0.33
RF-501, Square, 1, 14, 0.88, 0.66, 61, 755, 698, 57, 37, 24, 0.08, 0.61, 0.40
RF-501, Square, 1, 15, 0.84, 0.60, 73, 743, 664, 79, 51, 22, 0.11, 0.70, 0.44
