ALGORITHM, GESTURE, # OF SELECTED SENSORS, PARTICIPANT_NO, ACCURACY, AUC, #ofPositiveInstance, #ofNegativeInstance, TN, FP, FN, TP, FAR, FRR, EER
RF-501, Triangle, Acc, 8, 0.96, 0.81, 14, 213, 210, 3, 5, 9, 0.01, 0.36, 0.27
RF-501, Triangle, Acc, 9, 0.96, 0.82, 17, 210, 208, 2, 6, 11, 0.01, 0.35, 0.26
RF-501, Triangle, Acc, 10, 0.99, 0.97, 16, 211, 210, 1, 1, 15, 0.00, 0.06, 0.06
RF-501, Triangle, Acc, 11, 1.00, 1.00, 7, 220, 219, 1, 0, 7, 0.00, 0.00, 0.00
RF-501, Triangle, Acc, 12, 0.97, 0.89, 10, 217, 212, 5, 2, 8, 0.02, 0.20, 0.17
RF-501, Triangle, Acc, 13, 0.98, 0.90, 21, 206, 205, 1, 4, 17, 0.00, 0.19, 0.16
RF-501, Triangle, Acc, 14, 0.98, 0.94, 9, 218, 214, 4, 1, 8, 0.02, 0.11, 0.10
RF-501, Triangle, Acc, 15, 0.93, 0.80, 14, 213, 202, 11, 5, 9, 0.05, 0.36, 0.27
RF-501, Turn, Acc, 1, 0.96, 0.90, 35, 168, 167, 1, 7, 28, 0.01, 0.20, 0.17
RF-501, Turn, Acc, 2, 0.96, 0.78, 12, 191, 188, 3, 5, 7, 0.02, 0.42, 0.30
RF-501, Turn, Acc, 3, 0.96, 0.86, 19, 184, 181, 3, 5, 14, 0.02, 0.26, 0.21
RF-501, Turn, Acc, 4, 0.99, 0.96, 15, 188, 187, 1, 1, 14, 0.01, 0.07, 0.06
RF-501, Turn, Acc, 5, 0.98, 0.91, 12, 191, 188, 3, 2, 10, 0.02, 0.17, 0.14
RF-501, Turn, Acc, 6, 0.96, 0.86, 16, 187, 182, 5, 4, 12, 0.03, 0.25, 0.20
RF-501, Turn, Acc, 7, 0.99, 0.89, 9, 194, 193, 1, 2, 7, 0.01, 0.22, 0.18
RF-501, Turn, Acc, 8, 0.98, 0.85, 10, 193, 192, 1, 3, 7, 0.01, 0.30, 0.23
RF-501, Turn, Acc, 9, 0.97, 0.80, 8, 195, 191, 4, 3, 5, 0.02, 0.38, 0.28
RF-501, Turn, Acc, 10, 1.00, 1.00, 7, 196, 195, 1, 0, 7, 0.01, 0.00, 0.01
RF-501, Turn, Acc, 11, 0.99, 0.81, 8, 195, 195, 0, 3, 5, 0.00, 0.38, 0.27
RF-501, Turn, Acc, 12, 0.99, 0.96, 14, 189, 188, 1, 1, 13, 0.01, 0.07, 0.07
RF-501, Turn, Acc, 13, 1.00, 1.00, 5, 198, 197, 1, 0, 5, 0.01, 0.00, 0.01
RF-501, Turn, Acc, 14, 0.91, 0.81, 19, 184, 172, 12, 6, 13, 0.07, 0.32, 0.25
RF-501, Turn, Acc, 15, 0.99, 0.93, 14, 189, 189, 0, 2, 12, 0.00, 0.14, 0.13
RF-501, Square, Acc, 1, 0.96, 0.77, 16, 229, 226, 3, 7, 9, 0.01, 0.44, 0.31
RF-501, Square, Acc, 2, 0.92, 0.68, 24, 221, 217, 4, 15, 9, 0.02, 0.62, 0.39
RF-501, Square, Acc, 3, 0.98, 0.93, 16, 229, 225, 4, 2, 14, 0.02, 0.12, 0.11
RF-501, Square, Acc, 4, 0.94, 0.72, 15, 230, 224, 6, 8, 7, 0.03, 0.53, 0.35
RF-501, Square, Acc, 5, 0.97, 0.88, 13, 232, 228, 4, 3, 10, 0.02, 0.23, 0.19
RF-501, Square, Acc, 6, 0.94, 0.72, 15, 230, 223, 7, 8, 7, 0.03, 0.53, 0.35
RF-501, Square, Acc, 7, 0.98, 0.91, 17, 228, 225, 3, 3, 14, 0.01, 0.18, 0.15
RF-501, Square, Acc, 8, 0.98, 0.95, 20, 225, 223, 2, 2, 18, 0.01, 0.10, 0.09
RF-501, Square, Acc, 9, 0.98, 0.95, 12, 233, 230, 3, 1, 11, 0.01, 0.08, 0.08
RF-501, Square, Acc, 10, 0.99, 0.91, 11, 234, 233, 1, 2, 9, 0.00, 0.18, 0.15
RF-501, Square, Acc, 11, 0.96, 0.82, 15, 230, 225, 5, 5, 10, 0.02, 0.33, 0.25
RF-501, Square, Acc, 12, 0.97, 0.87, 17, 228, 224, 4, 4, 13, 0.02, 0.24, 0.19
RF-501, Square, Acc, 13, 0.98, 0.99, 20, 225, 221, 4, 0, 20, 0.02, 0.00, 0.02
RF-501, Square, Acc, 14, 0.96, 0.84, 13, 232, 227, 5, 4, 9, 0.02, 0.31, 0.24
RF-501, Square, Acc, 15, 0.95, 0.80, 21, 224, 219, 5, 8, 13, 0.02, 0.38, 0.28
RF-501, Circle, Gyr, 1, 1.00, 1.00, 15, 169, 169, 0, 0, 15, 0.00, 0.00, 0.00
RF-501, Circle, Gyr, 2, 0.99, 0.97, 19, 165, 164, 1, 1, 18, 0.01, 0.05, 0.05
RF-501, Circle, Gyr, 3, 0.96, 0.79, 17, 167, 167, 0, 7, 10, 0.00, 0.41, 0.29
RF-501, Circle, Gyr, 4, 0.98, 0.82, 11, 173, 173, 0, 4, 7, 0.00, 0.36, 0.27
RF-501, Circle, Gyr, 5, 0.98, 0.95, 12, 172, 169, 3, 1, 11, 0.02, 0.08, 0.08
RF-501, Circle, Gyr, 6, 0.95, 0.75, 16, 168, 167, 1, 8, 8, 0.01, 0.50, 0.33
RF-501, Circle, Gyr, 7, 0.99, 0.93, 14, 170, 170, 0, 2, 12, 0.00, 0.14, 0.13
RF-501, Circle, Gyr, 8, 0.99, 0.99, 9, 175, 173, 2, 0, 9, 0.01, 0.00, 0.01
RF-501, Circle, Gyr, 9, 0.98, 0.91, 17, 167, 166, 1, 3, 14, 0.01, 0.18, 0.15
RF-501, Circle, Gyr, 10, 1.00, 1.00, 8, 176, 176, 0, 0, 8, 0.00, 0.00, 0.00
RF-501, Circle, Gyr, 11, 0.98, 0.83, 3, 181, 178, 3, 1, 2, 0.02, 0.33, 0.25
RF-501, Circle, Gyr, 12, 0.98, 0.93, 8, 176, 174, 2, 1, 7, 0.01, 0.12, 0.11
RF-501, Circle, Gyr, 13, 0.99, 0.88, 8, 176, 176, 0, 2, 6, 0.00, 0.25, 0.20
RF-501, Circle, Gyr, 14, 0.99, 0.94, 16, 168, 168, 0, 2, 14, 0.00, 0.12, 0.11
RF-501, Circle, Gyr, 15, 0.97, 0.77, 11, 173, 173, 0, 5, 6, 0.00, 0.45, 0.31
RF-501, Updown, Gyr, 1, 0.96, 0.82, 14, 152, 151, 1, 5, 9, 0.01, 0.36, 0.26
RF-501, Updown, Gyr, 2, 0.92, 0.77, 15, 151, 143, 8, 6, 9, 0.05, 0.40, 0.30
RF-501, Updown, Gyr, 3, 0.98, 0.90, 15, 151, 151, 0, 3, 12, 0.00, 0.20, 0.17
RF-501, Updown, Gyr, 4, 0.99, 0.94, 8, 158, 158, 0, 1, 7, 0.00, 0.12, 0.11
RF-501, Updown, Gyr, 5, 0.96, 0.74, 10, 156, 154, 2, 5, 5, 0.01, 0.50, 0.34
RF-501, Updown, Gyr, 6, 0.95, 0.76, 13, 153, 150, 3, 6, 7, 0.02, 0.46, 0.32
RF-501, Updown, Gyr, 7, 0.95, 0.81, 6, 160, 154, 6, 2, 4, 0.04, 0.33, 0.26
RF-501, Updown, Gyr, 8, 0.95, 0.70, 7, 159, 155, 4, 4, 3, 0.03, 0.57, 0.37
RF-501, Updown, Gyr, 9, 0.92, 0.69, 14, 152, 146, 6, 8, 6, 0.04, 0.57, 0.37
RF-501, Updown, Gyr, 10, 0.95, 0.83, 10, 156, 151, 5, 3, 7, 0.03, 0.30, 0.24
RF-501, Updown, Gyr, 11, 0.98, 0.92, 13, 153, 152, 1, 2, 11, 0.01, 0.15, 0.13
RF-501, Updown, Gyr, 12, 0.98, 0.89, 5, 161, 159, 2, 1, 4, 0.01, 0.20, 0.17
RF-501, Updown, Gyr, 13, 0.96, 0.98, 2, 164, 158, 6, 0, 2, 0.04, 0.00, 0.04
RF-501, Updown, Gyr, 14, 0.94, 0.76, 15, 151, 148, 3, 7, 8, 0.02, 0.47, 0.32
RF-501, Updown, Gyr, 15, 0.95, 0.86, 19, 147, 144, 3, 5, 14, 0.02, 0.26, 0.21
RF-501, Tilt, Gyr, 1, 0.90, 0.66, 16, 185, 174, 11, 10, 6, 0.06, 0.62, 0.40
RF-501, Tilt, Gyr, 2, 0.93, 0.79, 25, 176, 172, 4, 10, 15, 0.02, 0.40, 0.29
RF-501, Tilt, Gyr, 3, 0.90, 0.63, 16, 185, 176, 9, 11, 5, 0.05, 0.69, 0.42
RF-501, Tilt, Gyr, 4, 0.91, 0.75, 18, 183, 173, 10, 8, 10, 0.05, 0.44, 0.32
RF-501, Tilt, Gyr, 5, 0.97, 0.78, 7, 194, 190, 4, 3, 4, 0.02, 0.43, 0.30
RF-501, Tilt, Gyr, 6, 0.94, 0.78, 10, 191, 183, 8, 4, 6, 0.04, 0.40, 0.29
RF-501, Tilt, Gyr, 7, 0.95, 0.74, 12, 189, 185, 4, 6, 6, 0.02, 0.50, 0.34
RF-501, Tilt, Gyr, 8, 0.94, 0.68, 16, 185, 182, 3, 10, 6, 0.02, 0.62, 0.39
RF-501, Tilt, Gyr, 9, 0.93, 0.86, 9, 192, 180, 12, 2, 7, 0.06, 0.22, 0.19
RF-501, Tilt, Gyr, 10, 0.97, 0.80, 8, 193, 190, 3, 3, 5, 0.02, 0.38, 0.28
RF-501, Tilt, Gyr, 11, 0.99, 0.90, 10, 191, 191, 0, 2, 8, 0.00, 0.20, 0.17
RF-501, Tilt, Gyr, 12, 0.96, 0.88, 10, 191, 185, 6, 2, 8, 0.03, 0.20, 0.17
