ALGORITHM, GESTURE, # OF SELECTED FEATURES, PARTICIPANT_NO, ACCURACY, AUC, #ofPositiveInstance, #ofNegativeInstance, TN, FP, FN, TP, FAR, FRR, EER
RF-501, Triangle, 1, 9, 0.90, 0.52, 17, 210, 204, 6, 16, 1, 0.03, 0.94, 0.49
RF-501, Triangle, 1, 10, 0.91, 0.61, 16, 211, 203, 8, 12, 4, 0.04, 0.75, 0.44
RF-501, Triangle, 1, 11, 1.00, 1.00, 7, 220, 220, 0, 0, 7, 0.00, 0.00, 0.00
RF-501, Triangle, 1, 12, 0.96, 0.79, 10, 217, 211, 6, 4, 6, 0.03, 0.40, 0.29
RF-501, Triangle, 1, 13, 0.89, 0.60, 21, 206, 198, 8, 16, 5, 0.04, 0.76, 0.44
RF-501, Triangle, 1, 14, 0.94, 0.49, 9, 218, 213, 5, 9, 0, 0.02, 1.00, 0.51
RF-501, Triangle, 1, 15, 0.92, 0.79, 14, 213, 199, 14, 5, 9, 0.07, 0.36, 0.28
RF-501, Turn, 1, 1, 0.88, 0.73, 35, 168, 160, 8, 17, 18, 0.05, 0.49, 0.34
RF-501, Turn, 1, 2, 0.98, 0.91, 12, 191, 188, 3, 2, 10, 0.02, 0.17, 0.14
RF-501, Turn, 1, 3, 0.89, 0.70, 19, 184, 171, 13, 10, 9, 0.07, 0.53, 0.36
RF-501, Turn, 1, 4, 0.99, 0.96, 15, 188, 186, 2, 1, 14, 0.01, 0.07, 0.06
RF-501, Turn, 1, 5, 0.95, 0.62, 12, 191, 189, 2, 9, 3, 0.01, 0.75, 0.43
RF-501, Turn, 1, 6, 0.91, 0.67, 16, 187, 179, 8, 10, 6, 0.04, 0.62, 0.40
RF-501, Turn, 1, 7, 0.95, 0.71, 9, 194, 188, 6, 5, 4, 0.03, 0.56, 0.36
RF-501, Turn, 1, 8, 0.95, 0.69, 10, 193, 189, 4, 6, 4, 0.02, 0.60, 0.38
RF-501, Turn, 1, 9, 0.95, 0.61, 8, 195, 191, 4, 6, 2, 0.02, 0.75, 0.43
RF-501, Turn, 1, 10, 0.95, 0.63, 7, 196, 191, 5, 5, 2, 0.03, 0.71, 0.42
RF-501, Turn, 1, 11, 0.95, 0.73, 8, 195, 189, 6, 4, 4, 0.03, 0.50, 0.34
RF-501, Turn, 1, 12, 0.94, 0.77, 14, 189, 182, 7, 6, 8, 0.04, 0.43, 0.31
RF-501, Turn, 1, 13, 1.00, 1.00, 5, 198, 198, 0, 0, 5, 0.00, 0.00, 0.00
RF-501, Turn, 1, 14, 0.91, 0.69, 19, 184, 176, 8, 11, 8, 0.04, 0.58, 0.38
RF-501, Turn, 1, 15, 0.95, 0.74, 14, 189, 185, 4, 7, 7, 0.02, 0.50, 0.34
RF-501, Square, 1, 1, 0.92, 0.72, 16, 229, 217, 12, 8, 8, 0.05, 0.50, 0.35
RF-501, Square, 1, 2, 0.89, 0.55, 24, 221, 215, 6, 21, 3, 0.03, 0.88, 0.47
RF-501, Square, 1, 3, 0.95, 0.83, 16, 229, 222, 7, 5, 11, 0.03, 0.31, 0.24
RF-501, Square, 1, 4, 0.96, 0.76, 15, 230, 227, 3, 7, 8, 0.01, 0.47, 0.32
RF-501, Square, 1, 5, 0.93, 0.53, 13, 232, 226, 6, 12, 1, 0.03, 0.92, 0.49
RF-501, Square, 1, 6, 0.93, 0.50, 15, 230, 229, 1, 15, 0, 0.00, 1.00, 0.50
RF-501, Square, 1, 7, 0.94, 0.59, 17, 228, 228, 0, 14, 3, 0.00, 0.82, 0.45
RF-501, Square, 1, 8, 0.92, 0.57, 20, 225, 223, 2, 17, 3, 0.01, 0.85, 0.46
RF-501, Square, 1, 9, 0.94, 0.50, 12, 233, 231, 2, 12, 0, 0.01, 1.00, 0.50
RF-501, Square, 1, 10, 0.96, 0.63, 11, 234, 233, 1, 8, 3, 0.00, 0.73, 0.42
RF-501, Square, 1, 11, 1.00, 1.00, 15, 230, 230, 0, 0, 15, 0.00, 0.00, 0.00
RF-501, Square, 1, 12, 0.89, 0.70, 17, 228, 211, 17, 9, 8, 0.07, 0.53, 0.36
RF-501, Square, 1, 13, 0.89, 0.55, 20, 225, 216, 9, 17, 3, 0.04, 0.85, 0.47
RF-501, Square, 1, 14, 0.95, 0.50, 13, 232, 232, 0, 13, 0, 0.00, 1.00, 0.50
RF-501, Square, 1, 15, 0.88, 0.52, 21, 224, 213, 11, 19, 2, 0.05, 0.90, 0.49
RF-501, Circle, 2, 1, 0.96, 0.76, 15, 169, 168, 1, 7, 8, 0.01, 0.47, 0.32
RF-501, Circle, 2, 2, 0.96, 0.79, 19, 165, 165, 0, 8, 11, 0.00, 0.42, 0.30
RF-501, Circle, 2, 3, 0.96, 0.90, 17, 167, 162, 5, 3, 14, 0.03, 0.18, 0.15
RF-501, Circle, 2, 4, 0.95, 0.72, 11, 173, 170, 3, 6, 5, 0.02, 0.55, 0.36
RF-501, Circle, 2, 5, 0.96, 0.90, 12, 172, 166, 6, 2, 10, 0.03, 0.17, 0.15
RF-501, Circle, 2, 6, 0.94, 0.80, 16, 168, 163, 5, 6, 10, 0.03, 0.38, 0.28
RF-501, Circle, 2, 7, 0.94, 0.61, 14, 170, 170, 0, 11, 3, 0.00, 0.79, 0.44
RF-501, Circle, 2, 8, 0.95, 0.81, 9, 175, 168, 7, 3, 6, 0.04, 0.33, 0.26
RF-501, Circle, 2, 9, 0.95, 0.76, 17, 167, 165, 2, 8, 9, 0.01, 0.47, 0.32
RF-501, Circle, 2, 10, 0.97, 0.68, 8, 176, 175, 1, 5, 3, 0.01, 0.62, 0.39
RF-501, Circle, 2, 11, 0.99, 0.99, 3, 181, 179, 2, 0, 3, 0.01, 0.00, 0.01
RF-501, Circle, 2, 12, 0.99, 0.94, 8, 176, 176, 0, 1, 7, 0.00, 0.12, 0.11
RF-501, Circle, 2, 13, 0.99, 0.93, 8, 176, 175, 1, 1, 7, 0.01, 0.12, 0.11
RF-501, Circle, 2, 14, 0.96, 0.84, 16, 168, 166, 2, 5, 11, 0.01, 0.31, 0.24
RF-501, Circle, 2, 15, 0.96, 0.68, 11, 173, 172, 1, 7, 4, 0.01, 0.64, 0.39
RF-501, Updown, 2, 1, 0.92, 0.76, 14, 152, 145, 7, 6, 8, 0.05, 0.43, 0.31
RF-501, Updown, 2, 2, 0.93, 0.66, 15, 151, 150, 1, 10, 5, 0.01, 0.67, 0.40
RF-501, Updown, 2, 3, 0.99, 1.00, 15, 151, 150, 1, 0, 15, 0.01, 0.00, 0.01
RF-501, Updown, 2, 4, 1.00, 1.00, 8, 158, 158, 0, 0, 8, 0.00, 0.00, 0.00
RF-501, Updown, 2, 5, 0.95, 0.74, 10, 156, 153, 3, 5, 5, 0.02, 0.50, 0.34
RF-501, Updown, 2, 6, 0.98, 0.88, 13, 153, 152, 1, 3, 10, 0.01, 0.23, 0.19
RF-501, Updown, 2, 7, 0.98, 0.91, 6, 160, 157, 3, 1, 5, 0.02, 0.17, 0.15
