ALGORITHM, GESTURE, # OF SELECTED FEATURES, PARTICIPANT_NO, ACCURACY, AUC, #ofPositiveInstance, #ofNegativeInstance, TN, FP, FN, TP, FAR, FRR, EER
RF-501, Tilt, 5, 5, 0.99, 0.90, 37, 631, 628, 3, 7, 30, 0.00, 0.19, 0.16
RF-501, Tilt, 5, 6, 0.98, 0.86, 45, 623, 619, 4, 12, 33, 0.01, 0.27, 0.21
RF-501, Tilt, 5, 7, 0.99, 0.93, 36, 632, 632, 0, 5, 31, 0.00, 0.14, 0.12
RF-501, Tilt, 5, 8, 0.97, 0.88, 42, 626, 619, 7, 10, 32, 0.01, 0.24, 0.19
RF-501, Tilt, 5, 9, 0.97, 0.85, 46, 622, 616, 6, 13, 33, 0.01, 0.28, 0.22
RF-501, Tilt, 5, 10, 1.00, 0.99, 41, 627, 625, 2, 1, 40, 0.00, 0.02, 0.02
RF-501, Tilt, 5, 11, 1.00, 0.96, 28, 640, 640, 0, 2, 26, 0.00, 0.07, 0.07
RF-501, Tilt, 5, 12, 0.99, 0.94, 41, 627, 623, 4, 5, 36, 0.01, 0.12, 0.11
RF-501, Tilt, 5, 13, 1.00, 1.00, 34, 634, 634, 0, 0, 34, 0.00, 0.00, 0.00
RF-501, Tilt, 5, 14, 0.99, 0.95, 55, 613, 609, 4, 5, 50, 0.01, 0.09, 0.08
RF-501, Tilt, 5, 15, 0.99, 0.96, 47, 621, 619, 2, 4, 43, 0.00, 0.09, 0.08
RF-501, Triangle, 5, 1, 0.99, 0.96, 45, 711, 707, 4, 3, 42, 0.01, 0.07, 0.06
RF-501, Triangle, 5, 2, 1.00, 1.00, 57, 699, 699, 0, 0, 57, 0.00, 0.00, 0.00
RF-501, Triangle, 5, 3, 0.99, 0.94, 61, 695, 695, 0, 7, 54, 0.00, 0.11, 0.10
RF-501, Triangle, 5, 4, 0.98, 0.91, 66, 690, 687, 3, 12, 54, 0.00, 0.18, 0.15
RF-501, Triangle, 5, 5, 0.99, 0.89, 44, 712, 711, 1, 10, 34, 0.00, 0.23, 0.19
RF-501, Triangle, 5, 6, 1.00, 0.99, 43, 713, 713, 0, 1, 42, 0.00, 0.02, 0.02
RF-501, Triangle, 5, 7, 0.99, 0.93, 44, 712, 712, 0, 6, 38, 0.00, 0.14, 0.12
RF-501, Triangle, 5, 8, 0.99, 0.94, 49, 707, 705, 2, 6, 43, 0.00, 0.12, 0.11
RF-501, Triangle, 5, 9, 0.99, 0.93, 51, 705, 702, 3, 7, 44, 0.00, 0.14, 0.12
RF-501, Triangle, 5, 10, 0.99, 0.90, 42, 714, 714, 0, 8, 34, 0.00, 0.19, 0.16
RF-501, Triangle, 5, 11, 1.00, 1.00, 35, 721, 721, 0, 0, 35, 0.00, 0.00, 0.00
RF-501, Triangle, 5, 12, 1.00, 1.00, 41, 715, 715, 0, 0, 41, 0.00, 0.00, 0.00
RF-501, Triangle, 5, 13, 1.00, 1.00, 60, 696, 696, 0, 0, 60, 0.00, 0.00, 0.00
RF-501, Triangle, 5, 14, 0.99, 0.98, 48, 708, 704, 4, 2, 46, 0.01, 0.04, 0.04
RF-501, Triangle, 5, 15, 0.98, 0.93, 70, 686, 682, 4, 9, 61, 0.01, 0.13, 0.11
RF-501, Turn, 5, 1, 0.98, 0.95, 85, 590, 585, 5, 8, 77, 0.01, 0.09, 0.09
RF-501, Turn, 5, 2, 0.98, 0.91, 47, 628, 621, 7, 8, 39, 0.01, 0.17, 0.15
RF-501, Turn, 5, 3, 0.99, 0.96, 64, 611, 605, 6, 4, 60, 0.01, 0.06, 0.06
RF-501, Turn, 5, 4, 1.00, 0.99, 43, 632, 631, 1, 1, 42, 0.00, 0.02, 0.02
RF-501, Turn, 5, 5, 0.99, 0.94, 39, 636, 636, 0, 5, 34, 0.00, 0.13, 0.11
RF-501, Turn, 5, 6, 0.97, 0.88, 51, 624, 617, 7, 12, 39, 0.01, 0.24, 0.19
RF-501, Turn, 5, 7, 0.99, 0.90, 31, 644, 641, 3, 6, 25, 0.00, 0.19, 0.16
RF-501, Turn, 5, 8, 0.98, 0.88, 41, 634, 633, 1, 10, 31, 0.00, 0.24, 0.20
RF-501, Turn, 5, 9, 0.98, 0.92, 50, 625, 620, 5, 8, 42, 0.01, 0.16, 0.14
RF-501, Turn, 5, 10, 0.98, 0.87, 32, 643, 639, 4, 8, 24, 0.01, 0.25, 0.20
RF-501, Turn, 5, 11, 1.00, 1.00, 31, 644, 644, 0, 0, 31, 0.00, 0.00, 0.00
