0:55,-0.209493,9.853337,-1.295263,0.369904,10.344149,-0.00838,0.25733314545454544,10.037124527272727,-1.1010063636363638,-0.031927,-0.017028,-0.025541,0.035119,1.073803,0.073432,0.0055145818181818185,0.13614334545454546,0.006501509090909091,5.997,-54.123001,-20.389999,8.246,-51.723999,-15.442,6.771290909090911,-53.653945763636365,-16.606418072727273,0.687752,0.153738,0.163926,0.731557,0.203557,0.203072,0.7210272363636365,0.16710752727272726,0.1802105272727273
55:110,-0.088585,9.270349,-1.19351,3.649961,10.309432,0.016759,2.6637017454545457,9.719566400000001,-0.5180399454545455,-0.040441,-1.042941,-0.469323,0.112808,1.842174,0.578938,0.02438041818181818,0.6304470363636364,0.17093392727272733,8.696,-55.922001,-16.341999,13.343,-53.522999,-10.795,12.06229090909091,-54.921509327272716,-12.85801810909091,0.635899,0.211072,0.209958,0.698043,0.308438,0.514826,0.6553841454545454,0.2884770181818182,0.43262236363636375
110:165,-0.494403,9.382876,-2.224213,3.38181,10.491392,-0.153229,0.7296874727272726,9.933412036363636,-1.0308126909090907,-0.138349,-1.867715,-0.512957,0.038312,-0.338424,-0.078753,-0.056307163636363636,-1.0101432181818182,-0.27453143636363636,5.247,-55.321999,-17.240999,12.444,-53.073002,-12.144,8.799163636363637,-54.1365638,-15.540490818181818,0.675755,0.05337,0.032437,0.756536,0.278131,0.44461,0.7197788545454544,0.16469265454545454,0.19489769090909093
165:220,-2.395399,9.515755,-0.835576,-0.298078,10.546458,0.585382,-1.6013073454545452,9.988478745454547,-0.17320958181818186,-0.170276,-1.770871,-0.30969,0.063854,0.739636,0.197946,-0.016369763636363638,-0.27677590909090916,-0.04403960000000001,-0.75,-54.123001,-16.792,4.948,-52.624001,-14.093,1.0304545454545455,-53.544909472727255,-15.284290854545453,0.695586,-0.09594,-0.219131,0.756474,0.045455,0.020784,0.7148867454545453,-0.058449727272727285,-0.151869
220:275,-1.089362,9.605537,-1.434127,0.521936,10.387244,0.124498,-0.48206167272727274,10.049008472727271,-0.8287637454545453,-0.018092,0.185175,-0.004257,0.169212,1.976266,0.332038,0.04193045454545454,0.7099930181818181,0.11311747272727272,1.499,-53.973,-17.391001,8.996,-52.773998,-15.892,5.4872545454545465,-53.41400014545454,-16.70452690909091,0.704352,-0.047039,-0.119576,0.746809,0.164607,0.155297,0.7335391272727272,0.05865592727272728,0.01925021818181818
275:330,0.609324,9.451111,-1.582567,3.499126,10.253169,0.09098,2.5356989454545458,9.806301763636366,-0.4423178727272727,-0.106423,-0.855637,-0.256478,0.120257,2.149735,0.45336,-0.007584981818181819,0.6009969636363635,0.18496227272727275,9.745,-55.622002,-16.492001,13.493,-53.673,-11.844,12.56098181818182,-54.65447307272727,-13.321527290909088,0.639612,0.173089,0.17235,0.706265,0.296126,0.491606,0.6659922545454545,0.26980543636363635,0.4064488909090909
330:385,-1.205481,9.5385,-1.623269,3.248932,10.377667,-0.227449,0.6988021818181817,9.914802563636362,-0.9068365090909091,-0.185175,-1.573989,-0.466131,0.108551,-0.843931,-0.183047,-0.04841254545454545,-1.2195633454545454,-0.3310320727272728,2.999,-55.472,-17.541,12.594,-52.924,-12.744,8.807472727272728,-54.16105498181818,-15.46679989090909,0.667387,-0.000161,-0.076582,0.740615,0.275644,0.434056,0.7178474909090908,0.15690263636363638,0.1831635454545454
385:440,-2.817975,9.643845,-1.318008,-0.497994,10.427945,0.391452,-1.9204109090909092,9.914824309090909,-0.2028759272727273,-0.056404,-1.265364,-0.341616,0.125579,1.118501,0.326717,0.024632000000000005,0.1636971818181818,0.03235247272727273,0.45,-54.272999,-17.091,4.648,-53.223,-14.993,2.2351999999999994,-53.82027334545455,-15.878363472727274,0.699247,-0.082881,-0.236975,0.745223,-0.001787,-0.041641,0.7142152363636366,-0.05365652727272726,-0.1698079818181818
440:495,-0.600945,9.39365,-1.648408,2.234987,10.518925,0.080206,0.45548598181818184,9.993550090909093,-0.8519440363636366,-0.076624,0.369286,0.059597,0.108551,1.594209,0.550204,0.014279963636363633,0.8953229090909091,0.2387347272727273,4.648,-54.423,-17.541,12.294,-52.624001,-13.943,8.019654545454545,-53.713927654545444,-16.35827252727273,0.684195,0.000863,-0.033718,0.750312,0.245749,0.356343,0.7264579090909092,0.11214521818181819,0.12590454545454544
495:550,2.365471,9.02614,-1.353921,5.011064,10.17416,0.101754,3.8778666181818178,9.397981581818183,-0.48264929090909087,-0.172404,-1.811311,-0.690682,0.121322,0.872665,0.647049,0.019194781818181822,-0.11267239999999999,0.09028501818181817,7.796,-56.222,-14.243,11.994,-54.123001,-11.544,9.393563636363638,-55.31947281818182,-12.814509090909091,0.666113,0.20042,0.364786,0.729343,0.257525,0.507833,0.6812748727272728,0.24653183636363632,0.45825279999999996
