ALGORITHM, GESTURE, # OF SELECTED FEATURES, PARTICIPANT_NO, ACCURACY, AUC, #ofPositiveInstance, #ofNegativeInstance, TN, FP, FN, TP, FAR, FRR, EER FEATURE_IMPORTANCE
RF-501, Circle, 36, 1, 0.99, 0.94, 42, 570, 570, 0, 5, 37, 0.00, 0.12, 0.11, 0.028699219375061234, 0.026806794304096878, 0.007445829458971384, 0.038015510097648905, 0.03044881751048596, 0.015046066321487118, 0.011130824119986926, 0.06194130772816383, 0.008515308637732878, 0.008899552921547618, 0.04062684836034186, 0.02293493839722617, 0.009640763526762988, 0.12615084353710737, 0.1317591329907311, 0.011135546924657538, 0.0952680981445874, 0.03990043819704801, 0.017973140848323903, 0.007250196176871732, 0.03949078808690454, 0.008675913078616353, 0.041550087619777444, 0.018876838405397618, 0.008066806146172827, 0.01797831758223587, 0.017604298385839504, 0.008037892367142797, 0.01836617247754242, 0.012363228546835317, 0.01163419464853143, 0.02113082014169769, 0.005417842122792284, 0.015064448080446166, 0.010936694853008433, 0.005216479878218552
RF-501, Circle, 36, 2, 1.00, 0.99, 47, 565, 565, 0, 1, 46, 0.00, 0.02, 0.02, 0.025047492380436805, 0.16082504879167175, 0.04904766208382865, 0.005165531511284298, 0.027676981261837555, 0.03851863399293719, 0.002795993085368317, 0.21320162924758865, 0.01331328263031931, 0.03403473868472792, 0.030315045836864313, 0.016512791431141843, 0.018236040414757567, 0.0024654383873908736, 0.004741425586353346, 0.01851995570654265, 0.008189357520231267, 0.012696143297420148, 0.007546482014290648, 0.002906183625889701, 0.009857993408454661, 0.12071919322407283, 0.007706671474752925, 0.06986721618676198, 0.014491265870508866, 0.004520317149864217, 0.01278151866253585, 0.003138040678834812, 0.00743115692495465, 0.008181057832410363, 0.029201282409202042, 0.005389710265054605, 0.005180065561171787, 0.003726983892566465, 0.0029570342248817095, 0.003094634743089496
RF-501, Circle, 36, 3, 0.99, 0.97, 59, 553, 552, 1, 3, 56, 0.00, 0.05, 0.05, 0.0158486869277777, 0.02467404094966961, 0.020209888777592177, 0.018915914871921142, 0.016618534816638813, 0.01674957669133306, 0.02679166593508881, 0.010194311031105158, 0.010811849391189983, 0.031475245858558876, 0.0839381815425847, 0.03247676123072582, 0.03138461138722493, 0.03141514945820895, 0.02854121265078088, 0.011317211090250098, 0.032643521863398396, 0.03403303134302348, 0.02217799515371768, 0.028917200524936085, 0.02246787413895142, 0.06211545374974842, 0.029158553127164248, 0.028839529478788293, 0.03950905775691172, 0.01880551018175545, 0.02300699379236112, 0.014098734429587558, 0.07344442951333657, 0.03303988561029679, 0.014474899685510119, 0.02419445505048181, 0.024911350713671832, 0.013887926405700307, 0.038956142132789535, 0.009954612737218559
RF-501, Circle, 36, 4, 0.99, 0.96, 35, 577, 576, 1, 3, 32, 0.00, 0.09, 0.08, 0.05839379534263888, 0.04894984991857468, 0.013432665111155933, 0.014355936979647863, 0.05787155579319109, 0.03359795175085717, 0.01838706092362221, 0.023290480550915385, 0.022105707689897336, 0.04950181700716882, 0.01664688057080114, 0.013996423614484884, 0.03045949303213391, 0.1264286113434926, 0.02107289511939833, 0.012234834332208726, 0.014854339907152899, 0.01070487498744525, 0.01978726646327734, 0.04647329744123289, 0.00989025962112321, 0.035975676482398765, 0.00817236705412335, 0.05642596252782651, 0.01812757858398654, 0.020156827912364884, 0.0290369827709702, 0.026681709278142673, 0.02170288854727709, 0.02354390470121047, 0.011616386986556378, 0.026707176446746025, 0.005940859290865227, 0.01502097679548201, 0.02866104824609265, 0.009793656875536896
RF-501, Circle, 36, 5, 1.00, 0.96, 40, 572, 572, 0, 3, 37, 0.00, 0.07, 0.07, 0.016824049712494266, 0.0118234980686274, 0.03003281859272344, 0.011804370873958631, 0.014493962304298018, 0.02505265203081811, 0.0044361394708420975, 0.008623900794404428, 0.004565632208724005, 0.007655941566054947, 0.008627186672246639, 0.05543491959703559, 0.005683985476358606, 0.00486018509542508, 0.01920445462035793, 0.006866868066052611, 0.003986438712549941, 0.029328154788623006, 0.02650516735299008, 0.019418834639317543, 0.02018658813765675, 0.07985692474826618, 0.01861269530230104, 0.0426885070867241, 0.018567129906443866, 0.007214757529456843, 0.014301181531584576, 0.0320649252611979, 0.18990202910426215, 0.029474251731456243, 0.03497621998011884, 0.035867649984836894, 0.014022858062363962, 0.015633587077225647, 0.10838508590785995, 0.02301644800434275
RF-501, Circle, 36, 6, 1.00, 1.00, 45, 567, 567, 0, 0, 45, 0.00, 0.00, 0.00, 0.006335422508871678, 0.02238666839304229, 0.018818286448112655, 0.003957409489416851, 0.029853442434879727, 0.004946022787258287, 0.003048382620876839, 0.011744051022595736, 0.001040693433435582, 0.008031943855029118, 0.009214794297324871, 0.002895805969030062, 0.005337561734016011, 0.003296899196326182, 0.0036548716850140313, 0.002588769200768471, 0.0039970832596251385, 0.005352329488981825, 0.01057437608726672, 0.10451586113970823, 0.07061505998156184, 0.008495311012744014, 0.04481668513959156, 0.08974065121799507, 0.0035481565170984975, 0.048768534256948035, 0.06016717204658388, 0.03324846841354007, 0.08976323758327347, 0.08047740130082882, 0.050071662985508886, 0.017593615203754902, 0.01937978736656394, 0.021743599453387327, 0.06309781102354439, 0.03688217144549497
RF-501, Circle, 36, 7, 1.00, 1.00, 37, 575, 575, 0, 0, 37, 0.00, 0.00, 0.00, 0.0212692898415877, 0.007662918919667115, 0.04982583202155952, 0.014696674706653189, 0.00614509271004273, 0.0044492573082057325, 0.005320990966311991, 0.015344871464365356, 0.01173642277264323, 0.007751890650218949, 0.032877263379871804, 0.018347546577190857, 0.0066196137082790525, 0.08381065268194504, 0.01945568569307902, 0.004696113216144267, 0.02550880019607146, 0.0018498537270271638, 0.017005002877794023, 0.0649524182110195, 0.015834923949358544, 0.030702727422923265, 0.014246846387066124, 0.10774018763162105, 0.009752077053439737, 0.014984886234156702, 0.02455100703782472, 0.005233676512962725, 0.05012953286297714, 0.07566631570869335, 0.06740092538738791, 0.06747755044731277, 0.009100651864829317, 0.020199591001066473, 0.04766673149020023, 0.019986177378502112
RF-501, Circle, 36, 8, 0.99, 0.93, 48, 564, 563, 1, 7, 41, 0.00, 0.15, 0.13, 0.07549762172581018, 0.012022579674655575, 0.007933961246992105, 0.03169136579068617, 0.02335128367657981, 0.011884916333644347, 0.022850998574962804, 0.012567313647436207, 0.009949805632010192, 0.007291515181948003, 0.026198797516617, 0.17313340962866622, 0.008141382864007509, 0.021089096736443113, 0.013999934544873053, 0.010426224279845941, 0.016196715464775746, 0.06275188101770982, 0.028339312718011152, 0.05263511927727394, 0.010040706180657522, 0.022249351102171768, 0.00486147486100408, 0.016931672725265558, 0.01829241646269151, 0.00814071369361152, 0.012961846028369002, 0.04471274407940089, 0.03427171540663058, 0.03972203375063062, 0.011363703134002614, 0.04869410840061854, 0.041900710400088435, 0.008500536919264232, 0.028306645306322875, 0.02109638601632135
RF-501, Circle, 36, 9, 0.99, 0.92, 46, 566, 566, 0, 7, 39, 0.00, 0.15, 0.13, 0.018273403470777428, 0.012672736035071195, 0.010219789070446147, 0.03308241629700269, 0.01695546109895926, 0.014461401535341476, 0.018438899846214232, 0.026587903935658953, 0.008658193351142896, 0.03153554905745007, 0.04666676139077386, 0.02776185102914097, 0.013918723357512094, 0.01703608325279163, 0.029891536487137244, 0.013211718462337709, 0.02059040882343066, 0.024340959810392214, 0.0347817687316953, 0.026342906277437676, 0.020136694518138917, 0.028205241971052186, 0.052040336101707795, 0.0237302610890271, 0.030574794043190325, 0.02475566934351837, 0.012097433116520541, 0.029069653029228728, 0.05411405389649818, 0.06193115966705952, 0.020301737736691344, 0.059651397892498216, 0.06351658176679602, 0.011521557372793112, 0.03647622829082152, 0.026448728843744548
RF-501, Circle, 36, 10, 1.00, 0.99, 39, 573, 573, 0, 1, 38, 0.00, 0.03, 0.03, 0.005934643439334977, 0.022494713130982905, 0.04152373368421434, 0.021029231890225354, 0.02225373192263861, 0.027505214268137138, 0.004005854150618299, 0.01851298730452543, 0.006482474266381129, 0.010025946144091842, 0.18891732730517366, 0.03660397119882002, 0.01814312390755621, 0.021372731427530527, 0.035188968305619406, 0.006004893050458344, 0.06753392276126575, 0.03266666418620157, 0.009361843545424893, 0.017882777104007288, 0.11880037162664299, 0.025512062050712284, 0.04240922582227848, 0.024250801439571743, 0.013283795661430307, 0.009480910600641294, 0.015202036451538121, 0.008723504139665017, 0.020902237775337944, 0.01532858090081625, 0.04372451162560774, 0.02229038628310801, 0.006131357490623868, 0.006053900208065551, 0.009519252081846723, 0.004942312848906151
