ALGORITHM, GESTURE, # OF SELECTED SENSORS, PARTICIPANT_NO, ACCURACY, AUC, #ofPositiveInstance, #ofNegativeInstance, TN, FP, FN, TP, FAR, FRR, EER
RF-501, Triangle, Acc, 8, 0.97, 0.78, 14, 213, 212, 1, 6, 8, 0.00, 0.43, 0.30
RF-501, Triangle, Acc, 9, 0.94, 0.59, 17, 210, 210, 0, 14, 3, 0.00, 0.82, 0.45
RF-501, Triangle, Acc, 10, 0.98, 0.93, 16, 211, 209, 2, 2, 14, 0.01, 0.12, 0.11
RF-501, Triangle, Acc, 11, 0.98, 0.71, 7, 220, 220, 0, 4, 3, 0.00, 0.57, 0.36
RF-501, Triangle, Acc, 12, 0.96, 0.70, 10, 217, 215, 2, 6, 4, 0.01, 0.60, 0.38
RF-501, Triangle, Acc, 13, 0.98, 0.90, 21, 206, 205, 1, 4, 17, 0.00, 0.19, 0.16
RF-501, Triangle, Acc, 14, 0.99, 0.89, 9, 218, 218, 0, 2, 7, 0.00, 0.22, 0.18
RF-501, Triangle, Acc, 15, 0.93, 0.53, 14, 213, 211, 2, 13, 1, 0.01, 0.93, 0.48
RF-501, Turn, Acc, 1, 0.96, 0.91, 35, 168, 166, 2, 6, 29, 0.01, 0.17, 0.15
RF-501, Turn, Acc, 2, 0.96, 0.62, 12, 191, 191, 0, 9, 3, 0.00, 0.75, 0.43
RF-501, Turn, Acc, 3, 0.96, 0.86, 19, 184, 180, 4, 5, 14, 0.02, 0.26, 0.21
RF-501, Turn, Acc, 4, 0.99, 0.96, 15, 188, 187, 1, 1, 14, 0.01, 0.07, 0.06
RF-501, Turn, Acc, 5, 0.98, 0.87, 12, 191, 189, 2, 3, 9, 0.01, 0.25, 0.20
RF-501, Turn, Acc, 6, 0.98, 0.84, 16, 187, 187, 0, 5, 11, 0.00, 0.31, 0.24
RF-501, Turn, Acc, 7, 0.99, 0.83, 9, 194, 194, 0, 3, 6, 0.00, 0.33, 0.25
RF-501, Turn, Acc, 8, 0.97, 0.65, 10, 193, 193, 0, 7, 3, 0.00, 0.70, 0.41
RF-501, Turn, Acc, 9, 0.99, 0.81, 8, 195, 195, 0, 3, 5, 0.00, 0.38, 0.27
RF-501, Turn, Acc, 10, 0.98, 0.71, 7, 196, 196, 0, 4, 3, 0.00, 0.57, 0.36
RF-501, Turn, Acc, 11, 0.99, 0.81, 8, 195, 195, 0, 3, 5, 0.00, 0.38, 0.27
RF-501, Turn, Acc, 12, 0.99, 0.96, 14, 189, 188, 1, 1, 13, 0.01, 0.07, 0.07
RF-501, Turn, Acc, 13, 1.00, 1.00, 5, 198, 197, 1, 0, 5, 0.01, 0.00, 0.01
RF-501, Turn, Acc, 14, 0.94, 0.71, 19, 184, 183, 1, 11, 8, 0.01, 0.58, 0.37
RF-501, Turn, Acc, 15, 0.99, 0.93, 14, 189, 189, 0, 2, 12, 0.00, 0.14, 0.13
RF-501, Square, Acc, 1, 0.96, 0.69, 16, 229, 228, 1, 10, 6, 0.00, 0.62, 0.39
RF-501, Square, Acc, 2, 0.93, 0.64, 24, 221, 220, 1, 17, 7, 0.00, 0.71, 0.42
RF-501, Square, Acc, 3, 0.98, 0.84, 16, 229, 229, 0, 5, 11, 0.00, 0.31, 0.24
RF-501, Square, Acc, 4, 0.94, 0.53, 15, 230, 230, 0, 14, 1, 0.00, 0.93, 0.48
RF-501, Square, Acc, 5, 0.96, 0.58, 13, 232, 232, 0, 11, 2, 0.00, 0.85, 0.46
RF-501, Square, Acc, 6, 0.95, 0.60, 15, 230, 230, 0, 12, 3, 0.00, 0.80, 0.44
RF-501, Square, Acc, 7, 0.97, 0.85, 17, 228, 226, 2, 5, 12, 0.01, 0.29, 0.23
RF-501, Square, Acc, 8, 0.98, 0.90, 20, 225, 225, 0, 4, 16, 0.00, 0.20, 0.17
RF-501, Square, Acc, 9, 0.97, 0.71, 12, 233, 233, 0, 7, 5, 0.00, 0.58, 0.37
RF-501, Square, Acc, 10, 0.99, 0.91, 11, 234, 233, 1, 2, 9, 0.00, 0.18, 0.15
RF-501, Square, Acc, 11, 0.95, 0.63, 15, 230, 228, 2, 11, 4, 0.01, 0.73, 0.43
RF-501, Square, Acc, 12, 0.98, 0.85, 17, 228, 227, 1, 5, 12, 0.00, 0.29, 0.23
RF-501, Square, Acc, 13, 0.98, 0.97, 20, 225, 222, 3, 1, 19, 0.01, 0.05, 0.05
RF-501, Square, Acc, 14, 0.97, 0.76, 13, 232, 230, 2, 6, 7, 0.01, 0.46, 0.32
RF-501, Square, Acc, 15, 0.95, 0.69, 21, 224, 224, 0, 13, 8, 0.00, 0.62, 0.38
RF-501, Circle, Gyr, 1, 0.99, 0.93, 15, 169, 169, 0, 2, 13, 0.00, 0.13, 0.12
RF-501, Circle, Gyr, 2, 0.98, 0.94, 19, 165, 164, 1, 2, 17, 0.01, 0.11, 0.10
RF-501, Circle, Gyr, 3, 0.95, 0.74, 17, 167, 167, 0, 9, 8, 0.00, 0.53, 0.35
RF-501, Circle, Gyr, 4, 0.98, 0.86, 11, 173, 173, 0, 3, 8, 0.00, 0.27, 0.21
RF-501, Circle, Gyr, 5, 0.99, 0.92, 12, 172, 172, 0, 2, 10, 0.00, 0.17, 0.14
RF-501, Circle, Gyr, 6, 0.95, 0.69, 16, 168, 168, 0, 10, 6, 0.00, 0.62, 0.38
RF-501, Circle, Gyr, 7, 0.99, 0.93, 14, 170, 170, 0, 2, 12, 0.00, 0.14, 0.13
RF-501, Circle, Gyr, 8, 0.98, 0.78, 9, 175, 175, 0, 4, 5, 0.00, 0.44, 0.31
RF-501, Circle, Gyr, 9, 0.94, 0.68, 17, 167, 167, 0, 11, 6, 0.00, 0.65, 0.39
RF-501, Circle, Gyr, 10, 0.98, 0.81, 8, 176, 176, 0, 3, 5, 0.00, 0.38, 0.27
RF-501, Circle, Gyr, 11, 0.99, 0.67, 3, 181, 181, 0, 2, 1, 0.00, 0.67, 0.40
RF-501, Circle, Gyr, 12, 0.98, 0.87, 8, 176, 175, 1, 2, 6, 0.01, 0.25, 0.20
RF-501, Circle, Gyr, 13, 0.99, 0.88, 8, 176, 176, 0, 2, 6, 0.00, 0.25, 0.20
RF-501, Circle, Gyr, 14, 0.97, 0.84, 16, 168, 167, 1, 5, 11, 0.01, 0.31, 0.24
RF-501, Circle, Gyr, 15, 1.00, 1.00, 11, 173, 173, 0, 0, 11, 0.00, 0.00, 0.00
RF-501, Updown, Gyr, 1, 0.96, 0.75, 14, 152, 152, 0, 7, 7, 0.00, 0.50, 0.33
RF-501, Updown, Gyr, 2, 0.91, 0.53, 15, 151, 150, 1, 14, 1, 0.01, 0.93, 0.48
RF-501, Updown, Gyr, 3, 0.96, 0.80, 15, 151, 151, 0, 6, 9, 0.00, 0.40, 0.29
RF-501, Updown, Gyr, 4, 0.99, 0.88, 8, 158, 158, 0, 2, 6, 0.00, 0.25, 0.20
RF-501, Updown, Gyr, 5, 0.95, 0.65, 10, 156, 155, 1, 7, 3, 0.01, 0.70, 0.41
RF-501, Updown, Gyr, 6, 0.94, 0.62, 13, 153, 153, 0, 10, 3, 0.00, 0.77, 0.43
RF-501, Updown, Gyr, 7, 0.96, 0.50, 6, 160, 160, 0, 6, 0, 0.00, 1.00, 0.50
RF-501, Updown, Gyr, 8, 0.96, 0.50, 7, 159, 159, 0, 7, 0, 0.00, 1.00, 0.50
RF-501, Updown, Gyr, 9, 0.92, 0.50, 14, 152, 152, 0, 14, 0, 0.00, 1.00, 0.50
RF-501, Updown, Gyr, 10, 0.96, 0.70, 10, 156, 156, 0, 6, 4, 0.00, 0.60, 0.37
RF-501, Updown, Gyr, 11, 0.95, 0.65, 13, 153, 153, 0, 9, 4, 0.00, 0.69, 0.41
RF-501, Updown, Gyr, 12, 0.96, 0.50, 5, 161, 160, 1, 5, 0, 0.01, 1.00, 0.50
RF-501, Updown, Gyr, 13, 1.00, 1.00, 2, 164, 164, 0, 0, 2, 0.00, 0.00, 0.00
RF-501, Updown, Gyr, 14, 0.93, 0.63, 15, 151, 150, 1, 11, 4, 0.01, 0.73, 0.42
RF-501, Updown, Gyr, 15, 0.96, 0.84, 19, 147, 147, 0, 6, 13, 0.00, 0.32, 0.24
RF-501, Tilt, Gyr, 1, 0.94, 0.65, 16, 185, 183, 2, 11, 5, 0.01, 0.69, 0.41
RF-501, Tilt, Gyr, 2, 0.89, 0.57, 25, 176, 174, 2, 21, 4, 0.01, 0.84, 0.46
RF-501, Tilt, Gyr, 3, 0.92, 0.59, 16, 185, 182, 3, 13, 3, 0.02, 0.81, 0.45
RF-501, Tilt, Gyr, 4, 0.94, 0.66, 18, 183, 182, 1, 12, 6, 0.01, 0.67, 0.40
RF-501, Tilt, Gyr, 5, 0.98, 0.71, 7, 194, 194, 0, 4, 3, 0.00, 0.57, 0.36
RF-501, Tilt, Gyr, 6, 0.96, 0.55, 10, 191, 191, 0, 9, 1, 0.00, 0.90, 0.47
RF-501, Tilt, Gyr, 7, 0.94, 0.50, 12, 189, 189, 0, 12, 0, 0.00, 1.00, 0.50
RF-501, Tilt, Gyr, 8, 0.92, 0.50, 16, 185, 185, 0, 16, 0, 0.00, 1.00, 0.50
RF-501, Tilt, Gyr, 9, 0.98, 0.78, 9, 192, 191, 1, 4, 5, 0.01, 0.44, 0.31
RF-501, Tilt, Gyr, 10, 0.98, 0.81, 8, 193, 191, 2, 3, 5, 0.01, 0.38, 0.27
RF-501, Tilt, Gyr, 11, 0.98, 0.80, 10, 191, 191, 0, 4, 6, 0.00, 0.40, 0.29
RF-501, Tilt, Gyr, 12, 0.97, 0.74, 10, 191, 189, 2, 5, 5, 0.01, 0.50, 0.34
RF-501, Tilt, Gyr, 13, 1.00, 1.00, 10, 191, 191, 0, 0, 10, 0.00, 0.00, 0.00
RF-501, Tilt, Gyr, 14, 0.92, 0.53, 17, 184, 184, 0, 16, 1, 0.00, 0.94, 0.48
RF-501, Tilt, Gyr, 15, 0.99, 0.94, 17, 184, 184, 0, 2, 15, 0.00, 0.12, 0.11
RF-501, Triangle, Gyr, 1, 0.95, 0.63, 15, 212, 212, 0, 11, 4, 0.00, 0.73, 0.42
RF-501, Triangle, Gyr, 2, 0.96, 0.83, 26, 201, 201, 0, 9, 17, 0.00, 0.35, 0.26
RF-501, Triangle, Gyr, 3, 0.97, 0.78, 16, 211, 211, 0, 7, 9, 0.00, 0.44, 0.30
RF-501, Triangle, Gyr, 4, 0.96, 0.75, 18, 209, 209, 0, 9, 9, 0.00, 0.50, 0.33
RF-501, Triangle, Gyr, 5, 0.98, 0.81, 13, 214, 214, 0, 5, 8, 0.00, 0.38, 0.28
RF-501, Triangle, Gyr, 6, 0.94, 0.54, 13, 214, 213, 1, 12, 1, 0.00, 0.92, 0.48
RF-501, Triangle, Gyr, 7, 0.98, 0.89, 18, 209, 209, 0, 4, 14, 0.00, 0.22, 0.18
RF-501, Triangle, Gyr, 8, 0.99, 0.89, 14, 213, 213, 0, 3, 11, 0.00, 0.21, 0.18
RF-501, Triangle, Gyr, 9, 0.93, 0.59, 17, 210, 209, 1, 14, 3, 0.00, 0.82, 0.45
RF-501, Triangle, Gyr, 10, 1.00, 1.00, 16, 211, 211, 0, 0, 16, 0.00, 0.00, 0.00
RF-501, Triangle, Gyr, 11, 0.97, 0.57, 7, 220, 219, 1, 6, 1, 0.00, 0.86, 0.46
RF-501, Triangle, Gyr, 12, 0.97, 0.70, 10, 217, 217, 0, 6, 4, 0.00, 0.60, 0.37
RF-501, Triangle, Gyr, 13, 0.99, 0.95, 21, 206, 206, 0, 2, 19, 0.00, 0.10, 0.09
RF-501, Triangle, Gyr, 14, 0.98, 0.78, 9, 218, 218, 0, 4, 5, 0.00, 0.44, 0.31
RF-501, Triangle, Gyr, 15, 0.95, 0.71, 14, 213, 210, 3, 8, 6, 0.01, 0.57, 0.37
RF-501, Turn, Gyr, 1, 0.91, 0.74, 35, 168, 168, 0, 18, 17, 0.00, 0.51, 0.34
RF-501, Turn, Gyr, 2, 0.94, 0.50, 12, 191, 190, 1, 12, 0, 0.01, 1.00, 0.50
RF-501, Turn, Gyr, 3, 0.94, 0.71, 19, 184, 182, 2, 11, 8, 0.01, 0.58, 0.37
RF-501, Turn, Gyr, 4, 0.98, 0.93, 15, 188, 186, 2, 2, 13, 0.01, 0.13, 0.12
RF-501, Turn, Gyr, 5, 0.96, 0.62, 12, 191, 191, 0, 9, 3, 0.00, 0.75, 0.43
RF-501, Turn, Gyr, 6, 0.95, 0.66, 16, 187, 187, 0, 11, 5, 0.00, 0.69, 0.41
