ALGORITHM, GESTURE, # OF SELECTED SENSORS, PARTICIPANT_NO, ACCURACY, AUC, #ofPositiveInstance, #ofNegativeInstance, TN, FP, FN, TP, FAR, FRR, EER
RF-501, Square, GyrMagField, 5, 0.97, 0.75, 8, 113, 113, 0, 4, 4, 0.00, 0.50, 0.33
RF-501, Square, GyrMagField, 6, 0.99, 0.92, 6, 115, 115, 0, 1, 5, 0.00, 0.17, 0.14
RF-501, Square, GyrMagField, 7, 0.98, 0.79, 7, 114, 114, 0, 3, 4, 0.00, 0.43, 0.30
RF-501, Square, GyrMagField, 8, 0.98, 0.87, 4, 117, 115, 2, 1, 3, 0.02, 0.25, 0.20
RF-501, Square, GyrMagField, 9, 0.94, 0.57, 7, 114, 113, 1, 6, 1, 0.01, 0.86, 0.46
RF-501, Square, GyrMagField, 10, 0.99, 0.88, 4, 117, 117, 0, 1, 3, 0.00, 0.25, 0.20
RF-501, Square, GyrMagField, 11, 1.00, 1.00, 3, 118, 118, 0, 0, 3, 0.00, 0.00, 0.00
RF-501, Square, GyrMagField, 12, 0.98, 0.90, 11, 110, 109, 1, 2, 9, 0.01, 0.18, 0.16
RF-501, Square, GyrMagField, 13, 1.00, 1.00, 7, 114, 114, 0, 0, 7, 0.00, 0.00, 0.00
RF-501, Square, GyrMagField, 14, 0.97, 0.80, 10, 111, 111, 0, 4, 6, 0.00, 0.40, 0.29
RF-501, Square, GyrMagField, 15, 0.95, 0.77, 13, 108, 108, 0, 6, 7, 0.00, 0.46, 0.32
RF-501, Circle, RotVecMagField, 1, 0.97, 0.75, 6, 86, 86, 0, 3, 3, 0.00, 0.50, 0.33
RF-501, Circle, RotVecMagField, 2, 1.00, 1.00, 6, 86, 86, 0, 0, 6, 0.00, 0.00, 0.00
RF-501, Circle, RotVecMagField, 3, 0.96, 0.81, 8, 84, 83, 1, 3, 5, 0.01, 0.38, 0.28
RF-501, Circle, RotVecMagField, 4, 0.93, 0.62, 8, 84, 84, 0, 6, 2, 0.00, 0.75, 0.43
RF-501, Circle, RotVecMagField, 5, 0.98, 0.91, 6, 86, 85, 1, 1, 5, 0.01, 0.17, 0.14
RF-501, Circle, RotVecMagField, 6, 1.00, 1.00, 8, 84, 84, 0, 0, 8, 0.00, 0.00, 0.00
RF-501, Circle, RotVecMagField, 7, 0.99, 0.92, 6, 86, 86, 0, 1, 5, 0.00, 0.17, 0.14
RF-501, Circle, RotVecMagField, 8, 0.98, 0.99, 5, 87, 85, 2, 0, 5, 0.02, 0.00, 0.02
RF-501, Circle, RotVecMagField, 9, 0.95, 0.69, 8, 84, 84, 0, 5, 3, 0.00, 0.62, 0.38
RF-501, Circle, RotVecMagField, 10, 0.98, 0.89, 5, 87, 86, 1, 1, 4, 0.01, 0.20, 0.17
